30,-10
29,-10
28,-10
27,-10
26,-10
25,-10
24,-10
23,-10
22,-10
21,-10
20,-10
30,-9
29,-9
28,-9
27,-9
26,-9
25,-9
24,-9
23,-9
22,-9
21,-9
20,-9
30,-8
29,-8
28,-8
27,-8
26,-8
25,-8
24,-8
23,-8
22,-8
21,-8
20,-8
30,-7
29,-7
28,-7
27,-7
26,-7
25,-7
24,-7
23,-7
22,-7
21,-7
20,-7
30,-6
29,-6
28,-6
27,-6
26,-6
25,-6
24,-6
23,-6
22,-6
21,-6
20,-6
30,-5
29,-5
28,-5
27,-5
26,-5
25,-5
24,-5
23,-5
22,-5
21,-5
20,-5
15,-4
14,-4
13,-4
12,-4
11,-4
15,-3
14,-3
13,-3
12,-3
11,-3
15,-2
14,-2
13,-2
12,-2
11,-2
10,-2
9,-2
8,-2
11,-1
10,-1
9,-1
8,-1
7,-1
9,0
8,0
7,0
6,0
8,1
7,1
6,1
7,2
6,2
7,3
6,3
7,4
6,4
7,5
6,5
7,6
6,6
7,7
6,7
7,8
6,8
7,9
6,9
